instance,recent_max,z_score,historical_mean,historical_std
instance-7702317d-f35a-41f0-abca-292f770243dc,10.17,45.31,1.01,0.2
instance-f33ac9f9-ee91-48dd-b5ba-275c443ae46e,31.49,45.24,3.29,0.62
instance-c02f3e65-ba45-49eb-a290-480de86d3124,97.58,44.54,4.04,2.1
instance-f7ba5eae-1bea-4265-a560-796385a19aa5,8.0,44.53,3.57,0.1
instance-d3688391-e8e2-4d64-9c7f-c848216ee64b,9.14,44.48,4.64,0.1
instance-ff54ec15-726b-47da-a473-b1836d14ed96,65.86,44.4,11.88,1.22
instance-af789b6d-f894-40d9-84c3-225a03036f0c,100.0,44.33,8.92,2.05
instance-c5a47e15-be3a-4476-9feb-1655b8529e92,7.25,44.27,1.16,0.14
instance-197d452e-68a5-4990-a8fd-376ba641446c,11.25,44.22,6.36,0.11
instance-6f39321b-9dc6-4225-b1dc-a5ddbc930465,24.91,43.87,13.31,0.26
instance-b75414b5-a238-4f07-989b-c664f294a8b8,35.47,43.68,2.99,0.74
instance-23aa4a2c-f2d7-4be8-b9b1-5b99c5ce75f0,38.07,43.66,9.8,0.65
instance-b48728fd-da71-47ef-8d34-4ca6191b7286,10.01,43.64,1.14,0.2
instance-efd45ee7-e29a-4964-ada4-25521c844378,14.35,43.6,2.72,0.27
instance-09f85d75-3692-4107-92ee-e5a64d7aa281,10.38,43.58,0.99,0.22
instance-20dcd6a3-309d-4c9d-9b9c-c6afc01d8d0d,1.22,43.58,0.73,0.01
instance-7eddee91-811d-4186-b159-df804a4daded,6.8,43.39,0.33,0.15
instance-163498a8-23cb-4046-8f0c-e31fd55f04ca,4.19,43.23,0.89,0.08
instance-02e6357f-4c84-4f44-bb4d-7fd4e286e3c5,7.26,43.05,1.31,0.14
instance-2a4272c2-ffb1-4892-ac2e-305fb84e69a5,6.35,42.97,1.11,0.12
instance-7beda7a6-d102-49f5-a707-05e351d44606,9.1,42.49,1.44,0.18
instance-745cefdb-6082-4c0a-adbf-38c40fad110c,47.46,42.24,11.2,0.86
instance-cddd913a-6a6c-41e5-9500-3ac3186ced33,4.33,41.99,1.89,0.06
instance-44a40196-f650-48f4-9281-d784882863a5,8.81,41.98,1.06,0.18
instance-a4597d07-cf5c-4174-a3da-dbbf8c9c1376,31.47,41.86,8.86,0.54
instance-1d752c13-49ff-42d4-8084-aca2d872a4e7,56.08,41.75,9.03,1.13
instance-c4658957-e0c3-46a5-81df-b2ab501370af,8.3,41.75,0.95,0.18
instance-04cc2141-4551-46b3-a9e5-9b36562b6817,19.14,41.6,8.2,0.26
instance-774a42e0-ae43-4a4d-92cd-cc2b4c778e4e,7.65,41.58,1.82,0.14
instance-bedd19b6-443c-47d9-b8e7-d265a4d04ad0,8.91,41.07,1.96,0.17
instance-8a385b2f-124e-4b06-bf56-61223f5d105c,8.64,40.9,1.0,0.19
instance-ca2c6fec-520e-41e0-a8a5-b42b80e821a2,14.0,40.78,2.54,0.28
instance-150ca5c6-b5af-44da-8b98-c6e24cc54355,8.83,40.67,4.03,0.12
instance-defa253a-5424-45a4-8a8e-ca940c8fb215,5.35,40.43,1.13,0.1
instance-954e3ed8-2709-40d4-8ddd-9da5e8c5a3df,18.92,40.41,5.75,0.33
instance-f4de6b04-26d5-4654-b6b4-d30c052b4ee3,7.93,39.99,3.18,0.12
instance-845b0e5f-28dc-42db-af50-3eb0ff5804c6,44.61,39.95,2.53,1.05
instance-82e43912-a6be-422a-885f-56d82a1261c0,98.48,39.77,12.69,2.16
instance-11f3a601-69d0-4798-9ee1-7d69d36871b3,9.69,39.76,1.04,0.22
instance-7709bcc2-d548-4199-8e11-179c9a0f46cf,8.2,39.67,3.51,0.12
instance-8687d27e-a7a5-48b7-83fe-89c16ad4ac0a,4.66,39.53,2.1,0.06
instance-02ab9e34-0192-41cc-a6c6-61a3e5017340,9.52,39.5,2.15,0.19
