instance,actual_cpu,pred_low,pred_mid,pred_high,action,risk,monthly_savings
instance-009b9141-6438-46c7-8f3e-d79f8411e972,2.7166666666666663,2.0557764,4.0701866,4.948353,terminate,risky,0.0
instance-009c72c4-863b-4cc7-b011-823d573816e6,2.535,2.047321,2.5351875,2.7626452,terminate,moderate,0.0
instance-009e7c7b-1e8b-4c91-8981-70fe61e43e74,1.4783333333333335,1.6126447,2.5324106,2.7179852,terminate,moderate,0.0
instance-00a1546a-2800-4c33-94e9-aef48b83e6e7,9.07,6.8125634,10.677196,16.151987,downsize,moderate,0.0
instance-00a1bc7e-122f-41f1-82df-842a5696c1ba,20.253333333333334,15.933134,17.7766,24.297516,review,n/a,1.8080154179890953
instance-00a2b6a0-bd4d-479d-a58b-f80f2a7bc1f4,0.5533333333333333,0.39782888,1.6158414,0.6924057,terminate,safe,0.0
instance-00a2e268-cab7-47f6-ab69-b200befb3ea7,2.32,2.1326962,2.3784826,2.6517658,terminate,moderate,0.0
instance-00a3f037-f3f3-47f0-a831-044b04acfb3c,9.278333333333334,4.7610116,9.035868,12.261122,downsize,moderate,0.17699991887410546
instance-00a54d4d-85c0-4196-addc-724bc1e12643,15.225,9.694476,14.88081,18.036047,downsize,risky,0.25125885772705053
instance-00a787c2-6446-486a-913e-9e24dc92f47f,3.6350000000000002,3.505445,3.6821651,3.8548417,terminate,moderate,0.0
instance-00b0dbb8-4916-461a-a51a-d5c9b1289937,1.4666666666666668,1.8238451,2.7155063,3.662553,terminate,moderate,0.0
instance-00b2c238-115f-4567-bd87-06fa7e65e821,14.848333333333334,13.2866125,13.329474,19.011513,downsize,risky,1.1087669854482025
instance-00b35e69-92f6-4179-9f82-64345027a999,26.891666666666666,22.640024,22.83565,29.456728,review,n/a,2.9608925387064606
instance-00b3dc7c-271c-48e2-a523-5e7a7d743e3d,2.483333333333333,2.555055,2.958707,3.302614,terminate,moderate,0.0
instance-00b6bb1f-5ca1-4950-bc29-0f371a991285,16.591666666666665,8.071751,13.941364,17.741117,downsize,risky,1.9347207361857086
instance-00b79ae6-f843-4c22-a167-55d6d1022fc9,12.979999999999999,7.9849324,19.073362,48.34842,review,n/a,0.0
instance-00b9978b-429f-4ffb-b13b-b82dac3a0c02,3.1750000000000003,2.5415645,4.6179204,5.322842,downsize,safe,0.0
instance-00bb891c-d995-48d5-9dc7-8dff734b67fb,2.873333333333333,2.8085182,3.1583767,3.8280747,terminate,moderate,0.0
instance-00bf83cc-f0a7-4873-bd63-308726300c28,18.276666666666667,13.463049,18.177229,31.698997,review,n/a,0.07258954950968469
instance-00c30ca5-1f73-4e0c-83bb-bb088e3fee99,3.6350000000000002,3.4990702,3.5786028,4.0626116,terminate,risky,0.04116996269226091
instance-00c37344-8652-410c-b48f-83851ec9a234,2.3116666666666665,2.0730748,2.602895,2.9106145,terminate,moderate,0.0
instance-00c427d9-5180-4e47-88f0-09d7890cba23,3.8350000000000004,3.4275813,3.4957094,3.9746904,terminate,moderate,0.24768212394714387
instance-00c460f4-e4d3-4afe-9070-4c18e0bda9ae,2.9450000000000003,2.672751,2.9124675,3.2065854,terminate,moderate,0.02374873981475851
instance-00c494ef-bb82-440a-ad86-8985c72b293b,3.3816666666666664,3.0307176,2.9384875,3.483121,terminate,moderate,0.3235207699457802
instance-00c56515-948d-4478-8444-ceec5d1a0ad1,2.51,7.814464,14.175294,16.30646,downsize,moderate,0.0
instance-00c761d6-2c4e-4fd7-89cc-bc3ab2f9d812,10.601666666666665,2.6063428,7.130964,10.564674,downsize,safe,2.5336130909601837
instance-00c7b3f8-7bcc-4974-a350-ac21ba405787,16.138333333333332,12.665993,15.153702,17.285719,downsize,risky,0.7187810323079415
instance-00cbdbca-d89b-491c-aeb0-d835e5b6622c,17.143333333333334,12.793896,15.349169,18.154812,downsize,risky,1.3097401257832852
instance-00ce8101-b5ed-4549-9379-22bb8781ada8,13.508333333333335,7.416276,12.143408,15.076209,downsize,moderate,0.9963956235249847
instance-00d009f1-193a-46f2-be18-9fa5c028fd35,13.245,12.272008,12.218096,14.366158,downsize,moderate,0.7496400810241695
instance-00d061f5-3527-49bf-a5f1-cdd05029791b,2.8349999999999995,1.7531829,6.2054048,11.265703,downsize,safe,0.0
instance-00d6596e-ef5a-41b3-a07b-ba4e8462abdb,8.87,4.405653,8.649552,11.065868,downsize,safe,0.16092678794860785
instance-00d99e6f-a60d-4449-ac81-0b78bc79885f,1.1966666666666668,0.7805115,2.0919433,2.487481,terminate,moderate,0.0
instance-00da1f07-f387-4331-a2cf-db4709e5b82e,1.5783333333333331,1.4868695,2.0851903,1.6807196,terminate,safe,0.0
instance-00db23c2-9396-44dc-938c-bbfbc1e233a7,8.833333333333334,4.189469,5.15494,8.960557,downsize,safe,2.68522703965505
instance-00dcff98-9e8f-4ae8-bb92-7e2db184b881,1.8916666666666668,1.6401799,2.247285,2.2618618,terminate,moderate,0.0
instance-00dd6886-6a43-4736-9d27-530b5e50c2f9,5.281666666666666,4.487829,5.322603,6.53045,downsize,safe,0.0
instance-00e083db-be8b-4b07-8d72-cf191600f689,15.038333333333334,11.796066,12.86032,15.167166,downsize,moderate,1.589949666722616
instance-00e0e250-245c-4af1-8a88-b8f093ed0ea2,8.351666666666668,5.7802095,7.1258574,8.955807,downsize,safe,0.8948407988230399
instance-00e13340-9aeb-4361-a5c5-69818d3fa2ec,17.13,13.410996,15.349169,17.399824,downsize,risky,1.3000067924499503
instance-00e3866d-fda1-4e1f-a25d-30f23f0c06d6,27.578333333333337,22.684454,25.892746,29.141048,review,n/a,1.2304787740071639
instance-00e469d7-eab3-4c0f-884a-9625c140f77f,6.574999999999999,5.031287,5.7367535,7.190377,downsize,safe,0.6119199714660639
instance-00e52fb8-53e8-4b7f-bc14-d062b5a72571,17.580000000000002,13.035457,15.349169,17.537949,downsize,risky,1.6285067924499526
instance-00e5e887-6e22-4074-bc26-eca9bf1f7800,1.42,1.2791038,1.9374526,1.6949058,terminate,safe,0.0
instance-00e6b827-5245-49a4-92ce-0dd8ab339e30,3.2066666666666666,2.9262302,3.0988846,3.529924,terminate,moderate,0.07868092142740878
instance-00e70289-70b6-42bf-bbe8-5ac06b8a5624,10.413333333333332,6.4139414,9.96562,15.162852,downsize,moderate,0.3268307034810376
instance-00e71023-1af1-4c83-b226-e66506de0d66,5.191666666666666,3.7857947,4.607288,6.1097603,downsize,safe,0.4265965115229287
instance-00e9b3fd-1e21-4cac-9534-73afc1637ffd,12.31,6.090159,14.344357,17.423214,downsize,risky,0.0
instance-00eaad29-b4d8-42d2-b88a-49312704d40a,4.321666666666666,3.935835,5.2662916,6.4467535,downsize,safe,0.0
instance-00ec1fea-e3d9-47d7-bef9-210938cf5173,1.6516666666666664,1.4466679,2.0851903,1.9472536,terminate,safe,0.0
instance-00edd967-8388-4b3c-a46d-718a9d14ed68,2.0316666666666667,1.8684363,3.2200854,3.5573924,terminate,moderate,0.0
instance-00ef6c88-c007-4291-b81b-1c9db712d70f,9.048333333333334,6.0449257,8.126042,10.999681,downsize,safe,0.6732724061330163
instance-00f23427-0051-4d70-8488-0b5c327ecb49,6.526666666666667,5.6812825,8.054885,9.807864,downsize,safe,0.0
instance-00f43296-d5a4-4dce-8853-dc8becd89b89,8.696666666666665,5.7917905,7.352303,9.924531,downsize,safe,0.9813854561487825
instance-00f51a3b-b9f1-44c6-9d1b-30ef1759a337,4.013333333333334,1.5934007,3.0670133,6.820883,downsize,safe,0.690813650830587
instance-00f5b584-abd3-4086-bccc-f46b64d1878e,15.740000000000002,9.567011,11.347128,15.243693,downsize,moderate,3.2067966224670426
instance-00f7b99e-7190-44c5-b88f-7d3fe07123de,15.999999999999998,14.888333,15.776199,18.35246,downsize,risky,0.1633744812011706
instance-00fb3996-a8b3-49ae-a813-93857eca9c16,2.966666666666667,2.4403875,2.6803987,2.9249015,terminate,moderate,0.20897561375300097
instance-00fc471b-7f65-48dc-9f98-81be2f4505f3,14.89,8.361551,13.652357,15.71662,downsize,moderate,0.9034793159484867
instance-00fecb51-a22f-4ff7-a99f-17826d381c19,1.3800000000000001,1.2384751,2.247285,1.8621305,terminate,safe,0.0
instance-00ffdb4f-5304-4ce3-95c1-26de6f9a48fb,2.9316666666666666,2.6391811,2.8349638,3.0744414,terminate,moderate,0.07059309374491371
instance-0100cadd-38fb-415f-941f-6409e32f0042,2.9916666666666667,2.9612448,8.956041,11.161528,downsize,safe,0.0
instance-01027428-386b-4460-b7fe-98c0130dcd97,11.495,7.427715,11.023808,16.177986,downsize,moderate,0.3439705062866205
instance-0102c781-8b92-4890-a78d-e13cfdba749b,8.691666666666668,6.3128133,8.33307,10.612172,downsize,safe,0.2617757116953543
instance-010454cf-6a1f-457c-82d5-3fc82dda0833,11.228333333333333,5.905319,8.840175,12.451471,downsize,moderate,1.7433558205922446
instance-0104d548-d6dc-4d10-8b8d-e9943bb1357d,0.6033333333333333,0.44213998,1.6158414,0.69951653,terminate,safe,0.0
instance-01061729-6aa0-4ea0-9a19-1f744e32b3d0,2.1950000000000003,1.8138378,4.705278,8.49841,downsize,safe,0.0
instance-01067dc8-1506-4dad-a9b4-6082a3f2b63c,7.8933333333333335,4.763749,8.039437,9.794587,downsize,safe,0.0
instance-0108b362-97fd-4189-a8b8-b3c787818f70,3.7216666666666662,3.3212166,3.4007714,3.8159382,terminate,moderate,0.23425355965296396
instance-0108cec0-ffea-491d-9fd1-116687c3750b,2.2849999999999997,1.8870735,2.2173932,2.307563,terminate,moderate,0.04935299329757668
instance-0108da21-1119-46f3-a768-734523b9d970,14.663333333333334,9.21419,14.700624,17.023598,downsize,risky,0.0
instance-010982b8-bcb8-4d7d-b3ab-7ac592104da9,15.488333333333335,6.9709053,15.218585,18.240412,downsize,risky,0.19691627286275354
instance-010abb8c-af91-4057-a4b3-04fe98cb77f8,13.301666666666668,10.130176,13.575227,15.442959,downsize,moderate,0.0
instance-010b9c0f-cfe8-464d-9fad-18c0be03c709,7.968333333333334,6.014495,8.269897,9.948489,downsize,safe,0.0
instance-010bb34f-63a3-48b2-95c2-b20dba95be6c,0.35,1.2682631,3.3936906,5.0200953,downsize,safe,0.0
instance-010c1e53-993a-44ca-aab9-f24ec4adc8ad,2.236666666666667,1.4850786,3.357742,4.0957475,terminate,risky,0.0
instance-010d3654-7e3e-4841-9730-8f25b2e6ee06,9.731666666666667,5.6655536,10.099883,13.877179,downsize,moderate,0.0
instance-010e0d39-43c1-4e48-9f5a-4ad5e5cdc248,4.716666666666668,1.5548319,6.1757474,7.88448,downsize,safe,0.0
