instance,cpu_mean,cpu_median,cpu_p5,cpu_p95,cpu_min,cpu_max,cpu_n,mem_mean,mem_median,mem_p5,mem_p95,mem_min,mem_max,mem_n
instance-002f3008-d7ac-4d4b-8e46-a037a6669600,0.5549,0.505,0.4703,0.7065,0.4694,1.327,62,61.6572,61.6613,61.6442,61.6636,61.6285,61.6636,62
instance-002f6e8f-d4f8-4991-8ba8-e24a4b354f8e,6.5765,6.5765,6.5765,6.5765,6.5765,6.5765,2,26.6245,26.6245,26.6245,26.6245,26.6245,26.6245,2
instance-002fc5e2-9dbf-443e-b92b-e74fd997413e,0.512,0.512,0.512,0.512,0.512,0.512,2,3.8333,3.8333,3.8333,3.8333,3.8333,3.8333,2
instance-003016b8-a4b5-4ed9-95bb-bc92c0ce22d9,13.7198,18.9703,4.8175,19.5577,4.8175,19.5577,9,97.7774,97.7793,97.7675,97.7887,97.7675,97.7887,9
instance-00303e57-4837-4157-8682-a452b0b19cc6,4.2232,4.315,3.5837,5.0046,3.5837,5.0046,9,84.3552,98.5864,35.4165,99.7164,35.4165,99.7164,9
instance-003097df-ee67-4cff-b1f6-ed96f6c97e11,15.4041,16.5529,2.5834,18.8389,2.5834,18.8389,24,96.1383,97.6622,85.546,98.2308,85.546,98.2308,24
instance-0033af84-2dbc-412d-84c4-b3d9fc1da323,2.0478,2.0478,1.8475,2.2481,1.8475,2.2481,4,73.6647,73.6647,73.5902,73.7391,73.5902,73.7391,4
instance-0034e6fd-4d08-47ea-8e96-71f76a8b1226,13.7841,13.6014,12.8867,17.1124,12.8867,17.1124,22,99.6601,99.8037,98.2563,99.8037,98.2563,99.8037,22
instance-0034ea27-f329-4f57-a1c0-cc7bff169005,2.3002,2.3002,0.9867,3.6138,0.9867,3.6138,4,66.5437,66.5437,65.9315,67.1558,65.9315,67.1558,4
instance-00356c59-e371-4da8-a0af-da70917a5269,2.3388,2.3012,2.2022,2.5742,2.1974,2.6852,62,99.1373,99.143,99.0925,99.2008,98.9472,99.2012,62
instance-00357464-3a1f-4ea6-aeb4-5b4734d3b194,7.3452,7.3452,7.3452,7.3452,7.3452,7.3452,2,72.7044,72.7044,72.7044,72.7044,72.7044,72.7044,2
instance-00359a06-24a4-4d39-b353-efd003cee5f0,4.1863,4.1863,4.1863,4.1863,4.1863,4.1863,2,20.883,20.883,20.883,20.883,20.883,20.883,2
instance-0035f5e9-cb35-48d0-a460-6a1136a25047,3.6096,3.5123,3.4346,4.3038,3.4136,4.3584,60,99.9959,99.9958,99.9952,99.9964,99.9952,99.9965,60
instance-003668e2-baca-4730-b5f2-de255a31121e,0.4743,0.4743,0.4743,0.4743,0.4743,0.4743,2,4.4584,4.4584,4.4584,4.4584,4.4584,4.4584,2
instance-0036ea29-9f5d-4dae-ab39-52ec48a1af52,6.8131,6.6471,2.3299,14.2399,1.8242,17.4751,62,99.9737,99.9786,99.9509,99.9786,99.9231,99.9786,62
instance-003737e8-b375-4411-b663-4b0744cffc74,0.1568,0.1568,0.1568,0.1568,0.1568,0.1568,2,3.3942,3.3942,3.3942,3.3942,3.3942,3.3942,2
instance-0037b93e-27f2-4e81-a1d0-6263caf4e8ef,8.3937,8.904,1.2598,22.7225,1.2538,43.3003,68,98.8199,99.5566,97.0158,99.6078,97.0111,99.6078,68
instance-0037ebfe-49cb-4399-a5ee-8b79dc35fa73,41.1081,41.1081,41.1081,41.1081,41.1081,41.1081,2,92.6032,92.6032,92.6032,92.6032,92.6032,92.6032,2
instance-0037eda6-e81f-4caf-ac58-e97ff057ae33,4.8877,4.8877,4.8877,4.8877,4.8877,4.8877,2,43.7894,43.7894,43.7894,43.7894,43.7894,43.7894,2
instance-003b05d6-dce7-40c8-926e-21a09805ed04,0.4044,0.3694,0.3407,0.5356,0.334,0.8904,49,88.9252,99.9252,61.1418,99.9394,61.125,99.9411,49
