instance,actual_cpu,pred_low,pred_mid,pred_high,action,monthly_savings
instance-00a787c2-6446-486a-913e-9e24dc92f47f,3.6350000000000002,3.5240341512461995,3.605885916010379,3.8171143983219964,terminate,0.02125328131242358
instance-00b0dbb8-4916-461a-a51a-d5c9b1289937,1.4666666666666668,1.710759425600832,2.467781600877305,2.971646644164591,terminate,0.0
instance-00b2c238-115f-4567-bd87-06fa7e65e821,14.848333333333334,6.367663117925074,16.38075114613209,16.575246247152325,downsize,0.0
instance-00b35e69-92f6-4179-9f82-64345027a999,26.891666666666666,17.10577463617299,25.081413664597488,27.02191731759837,review,1.3214846915105
instance-00b3dc7c-271c-48e2-a523-5e7a7d743e3d,2.483333333333333,2.575273393044075,2.9093351061275143,3.2290164562392993,terminate,0.0
instance-00b6bb1f-5ca1-4950-bc29-0f371a991285,16.591666666666665,7.711262742384382,15.912578899391063,16.837057571658377,downsize,0.4957340701111896
instance-00b79ae6-f843-4c22-a167-55d6d1022fc9,12.979999999999999,8.347268944129585,15.35354207379313,22.30424508387599,review,0.0
instance-00b9978b-429f-4ffb-b13b-b82dac3a0c02,3.1750000000000003,2.6638476373386863,2.8476398566772363,7.543716970308167,downsize,0.2389729046256177
instance-00bb891c-d995-48d5-9dc7-8dff734b67fb,2.873333333333333,2.879258467657278,3.1742958897199975,3.4847336440743644,terminate,0.0
instance-00bf83cc-f0a7-4873-bd63-308726300c28,18.276666666666667,6.286858620115217,16.393196196846745,19.921389660514382,downsize,1.3749334429685434
instance-00c30ca5-1f73-4e0c-83bb-bb088e3fee99,3.6350000000000002,3.5172558045080535,3.641466774848703,3.90104498750513,terminate,0.0
instance-00c37344-8652-410c-b48f-83851ec9a234,2.3116666666666665,2.0489627207896692,2.3690711165132905,2.7358019205047333,terminate,0.0
instance-00c427d9-5180-4e47-88f0-09d7890cba23,3.8350000000000004,3.5118349609814854,3.6420600452254224,3.8312128418392066,terminate,0.14084616698544197
instance-00c460f4-e4d3-4afe-9070-4c18e0bda9ae,2.9450000000000003,2.7714672530496083,2.9619793549846216,3.0894173253813295,terminate,0.0
instance-00c494ef-bb82-440a-ad86-8985c72b293b,3.3816666666666664,3.063232887425531,3.203653956572682,3.4029311049885496,terminate,0.12994927836860856
instance-00c56515-948d-4478-8444-ceec5d1a0ad1,2.51,8.903220731229535,15.064975235975687,15.5034463969214,downsize,0.0
instance-00c761d6-2c4e-4fd7-89cc-bc3ab2f9d812,10.601666666666665,2.1819050316090003,7.252982925246526,8.772272158942409,downsize,2.4445391312367017
instance-00c7b3f8-7bcc-4974-a350-ac21ba405787,16.138333333333332,9.489514298210043,16.460851839781174,17.082372668707134,downsize,0.0
instance-00cbdbca-d89b-491c-aeb0-d835e5b6622c,17.143333333333334,9.694990593670179,16.73907688473504,17.324272932677346,downsize,0.29510720747675384
instance-00ce8101-b5ed-4549-9379-22bb8781ada8,13.508333333333335,7.324397427936763,13.03313364054038,15.169427833522988,downsize,0.34689577573885744
instance-00d009f1-193a-46f2-be18-9fa5c028fd35,13.245,9.993598990039855,12.511438228532324,13.16208376210314,downsize,0.535500093171403
instance-00d061f5-3527-49bf-a5f1-cdd05029791b,2.8349999999999995,1.6756281471894092,6.3037169596661755,9.506099226362721,downsize,0.0
instance-00d6596e-ef5a-41b3-a07b-ba4e8462abdb,8.87,4.6658498861435165,8.681246222657121,9.863189956730162,downsize,0.13779025746030113
instance-00d99e6f-a60d-4449-ac81-0b78bc79885f,1.1966666666666668,0.6750883898162874,1.279101126396154,2.0541561878825494,terminate,0.0
instance-00da1f07-f387-4331-a2cf-db4709e5b82e,1.5783333333333331,1.4637024341210383,1.5391779627518942,1.6121199221536942,terminate,0.028583420524450412
instance-00db23c2-9396-44dc-938c-bbfbc1e233a7,8.833333333333334,3.4822300510316486,8.008400348088541,8.743524414207602,downsize,0.6022010792286988
instance-00dcff98-9e8f-4ae8-bb92-7e2db184b881,1.8916666666666668,1.6376763046628025,1.9502059706513153,2.057490793066194,terminate,0.0
instance-00dd6886-6a43-4736-9d27-530b5e50c2f9,5.281666666666666,4.542260840880406,5.046361212568535,5.57887824848433,downsize,0.1717729814916356
instance-00e083db-be8b-4b07-8d72-cf191600f689,15.038333333333334,9.614493734809894,13.064530884372864,14.516061026026666,downsize,1.4408757877411429
instance-00e0e250-245c-4af1-8a88-b8f093ed0ea2,8.351666666666668,5.464315673210962,7.9179446481830285,9.090781943463863,downsize,0.3166170734930571
instance-00e13340-9aeb-4361-a5c5-69818d3fa2ec,17.13,9.360360138909199,16.53051563233793,16.982193977318058,downsize,0.43762358839330984
instance-00e3866d-fda1-4e1f-a25d-30f23f0c06d6,27.578333333333337,26.896390127149605,27.864933881265067,31.340979924848305,review,0.0
instance-00e469d7-eab3-4c0f-884a-9625c140f77f,6.574999999999999,5.50492309382822,6.5369957395119185,7.483557316677431,downsize,0.027743110156298992
instance-00e52fb8-53e8-4b7f-bc14-d062b5a72571,17.580000000000002,9.646733878651201,16.554973832339055,17.314595544863266,downsize,0.7482691023924912
instance-00e5e887-6e22-4074-bc26-eca9bf1f7800,1.42,1.3021332823732683,1.3950730675187948,1.4628339619605746,terminate,0.018196660711279754
instance-00e6b827-5245-49a4-92ce-0dd8ab339e30,3.2066666666666666,2.9060603989432146,3.249019768781945,3.442300336149588,terminate,0.0
instance-00e70289-70b6-42bf-bbe8-5ac06b8a5624,10.413333333333332,7.316017978369045,9.254168249147318,15.140308470837997,downsize,0.8461905114557906
instance-00e71023-1af1-4c83-b226-e66506de0d66,5.191666666666666,4.238491525758842,5.097722271356996,5.57887824848433,downsize,0.06857940857605968
instance-00e9b3fd-1e21-4cac-9534-73afc1637ffd,12.31,8.500976723042589,14.384127346800607,16.792801543594233,downsize,0.0
instance-00eaad29-b4d8-42d2-b88a-49312704d40a,4.321666666666666,4.2153714448794695,4.912647943248633,5.557035550373112,downsize,0.0
instance-00ec1fea-e3d9-47d7-bef9-210938cf5173,1.6516666666666664,1.4856172235080105,1.5774424669307976,1.7798656022906831,terminate,0.05418366580718423
instance-00edd967-8388-4b3c-a46d-718a9d14ed68,2.0316666666666667,1.9589094745792994,2.1646496714749106,2.653931137669035,terminate,0.0
instance-00ef6c88-c007-4291-b81b-1c9db712d70f,9.048333333333334,4.905037919874904,8.159341781110893,9.036578794306592,downsize,0.6489638331223819
instance-00f23427-0051-4d70-8488-0b5c327ecb49,6.526666666666667,4.950124598839697,7.446882123079756,8.53992649002967,downsize,0.0
instance-00f43296-d5a4-4dce-8853-dc8becd89b89,8.696666666666665,5.651412897189794,7.473428267691462,9.000818090898418,downsize,0.8929640312518984
instance-00f51a3b-b9f1-44c6-9d1b-30ef1759a337,4.013333333333334,1.9523905639568733,2.9339921488035694,6.727567744583181,downsize,0.7879190647067279
instance-00f5b584-abd3-4086-bccc-f46b64d1878e,15.740000000000002,9.111548723843564,10.936064607343484,13.147123885453757,downsize,3.5068728366392583
instance-00f7b99e-7190-44c5-b88f-7d3fe07123de,15.999999999999998,13.796146287577086,17.337558567527974,17.501502770296202,downsize,0.0
instance-00fb3996-a8b3-49ae-a813-93857eca9c16,2.966666666666667,2.512295242791634,2.62065351288062,2.824121897964985,terminate,0.2525896022638141
instance-00fc471b-7f65-48dc-9f98-81be2f4505f3,14.89,8.324247362827805,13.58367318336182,15.149481219366056,downsize,0.9536185761458724
instance-00fecb51-a22f-4ff7-a99f-17826d381c19,1.3800000000000001,1.2993879179872507,1.3804906477502323,1.4823282613489568,terminate,0.0
instance-00ffdb4f-5304-4ce3-95c1-26de6f9a48fb,2.9316666666666666,2.6608702405135656,2.823689926820735,2.985767564032468,terminate,0.07882302008752998
instance-0100cadd-38fb-415f-941f-6409e32f0042,2.9916666666666667,3.802406075811914,8.310880370392455,10.00692421774281,downsize,0.0
instance-01027428-386b-4460-b7fe-98c0130dcd97,11.495,5.804294012211071,9.84483647401902,11.167890874858422,downsize,1.2046193739661146
instance-0102c781-8b92-4890-a78d-e13cfdba749b,8.691666666666668,6.344248897442594,8.664391724946832,9.63500182135598,downsize,0.0199107074554807
instance-010454cf-6a1f-457c-82d5-3fc82dda0833,11.228333333333333,4.980770350083749,9.194975668282416,9.421329841385248,downsize,1.4843510954871701
instance-0104d548-d6dc-4d10-8b8d-e9943bb1357d,0.6033333333333333,0.5828566799613452,0.6043106846514317,0.6114124032466866,terminate,0.0
instance-01061729-6aa0-4ea0-9a19-1f744e32b3d0,2.1950000000000003,2.008627696175734,4.070939875263557,5.792627479934502,downsize,0.0
instance-01067dc8-1506-4dad-a9b4-6082a3f2b63c,7.8933333333333335,4.199003770750438,7.936630472340681,8.754026202733744,downsize,0.0
instance-0108b362-97fd-4189-a8b8-b3c787818f70,3.7216666666666662,3.354753815427891,3.6215702254161894,3.7708400620821028,terminate,0.07307040211284806
instance-0108cec0-ffea-491d-9fd1-116687c3750b,2.2849999999999997,1.8908082105913533,2.0558377040123568,2.1927695218661993,terminate,0.16728847607097935
instance-0108da21-1119-46f3-a768-734523b9d970,14.663333333333334,9.322533800169658,15.377252933012667,15.764786821207196,downsize,0.0
instance-010982b8-bcb8-4d7d-b3ab-7ac592104da9,15.488333333333335,8.726437993056015,16.22217268928964,17.431165555973134,downsize,0.0
